seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,fish_retained,seine_comments,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_type,survey_comments,sampling_week
DN235,DE135,NA,NA,20,10:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN236,DE136,NA,NA,15,11:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-27,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,2,0.1-5,N,NA,NA,NA,NA,NA,NA,0,standard,NA,May 26
DN237,DE137,1,targeted,28,06:45:00,50.44941,-125.33027,30,30,0,0,5,10,0,0,1,1,NA,NA,1,SEMSP,Yes,NA,2015-05-28,D10,DI,W,Hall Point,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,100,1,0.1-5,NW,NA,NA,NA,NA,QPK1027,9.3,1,standard,NA,May 26
DN238,DE138,1,targeted,33,09:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,"CO = 6 total, released",2015-05-28,D11,DI,NA,Turn Island,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,0,2,5-10,W,NA,NA,NA,NA,NA,NA,1,standard,NA,May 26
DN239,DE139,1,targeted,10,11:10:00,50.308839999999996,-125.32275,30,200,0,0,10,10,0,0,3,3,NA,NA,1,SEMSP,Yes,NA,2015-05-28,D09,DI,C,Okisollo Channel,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,0,1,NA,NA,NA,NA,NA,NA,QPK1028,14.3,1,standard,NA,May 26
DN240,DE140,1,targeted,36,10:19:00,50.10015,-125.27265,30,40,0,0,10,200,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-30,D06,DI,W,Gowlland Harbour,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,2,5-10,NW,NA,NA,NA,NA,QPK1029,13.2,1,standard,NA,June 2
DN241,DE141,NA,NA,42,13:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-30,D04,DI,W,Fransisco Point,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,1,0.1-5,SE,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN242,DE142,NA,NA,25,18:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-30,D03,DI,E,Sutil Narrows,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,1,0.1-5,SE,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN243,DE143,1,targeted,5,06:25:00,50.31763,-125.04942,2,2,1,1,10,60,0,0,0,0,NA,NA,1,SEMSP,Yes,NA,2015-05-31,D08,DI,W,Calm Channel,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,25,1,0.1-5,NW,NA,NA,NA,NA,QPK1030,11,1,standard,Salmon Farms: Raza Island 10 pens stocked.,June 2
DN244,DE144,NA,NA,21,08:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-31,D05,DI,E,Lewis Channel,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,25,0,0,NA,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN245,DE145,1,targeted,22,09:32:00,50.06119,-124.87916,0,0,0,0,0,10,0,10,0,0,NA,NA,NA,SEMSP,No,NA,2015-05-31,D02,DI,E,Kinghorn Island,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,25,0,0,NA,NA,NA,NA,NA,NA,NA,1,standard,NA,June 2
DN246,DE146,1,targeted,16,10:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,"CU = 6 total, released",2015-05-31,D01,DI,E,Hurtado Point,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,50,0,0,NA,NA,NA,NA,NA,NA,NA,1,standard,"CU = 6 total, released",June 2
DN247,DE147,NA,NA,19,12:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,NA,2015-05-31,D04,DI,W,Fransisco Point,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,75,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,0,standard,NA,June 2
DN248,DE148,1,targeted,30,13:04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No,bycatch 200 squuid,2015-05-31,D03,DI,E,Sutil Narrows,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,75,1,0.1-5,NW,NA,NA,NA,NA,NA,NA,1,standard,NA,June 2
DN249,DE149,1,targeted,4,06:34:00,50.44527,-125.2774,30,800,0,0,0,2,1,1,1,1,NA,NA,1,SEMSP,Yes,NA,2015-06-01,D10,DI,W,Hall Point,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,75,1,0.1-5,NW,NA,NA,NA,NA,QPK1031,9.8,1,standard,NA,June 2
