ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U92,scale,BSC3-10,BSC3,10,BSC3-10,NA,collected,Dry,N,NA,NA,92
U93,scale,BSC3-13,BSC3,13,BSC3-13,NA,collected,Dry,N,NA,NA,93
U94,scale,BSC3-15,BSC3,15,BSC3-15,NA,collected,Dry,N,NA,NA,94
U95,scale,BSC3-16,BSC3,16,BSC3-16,NA,collected,Dry,N,NA,NA,95
U96,scale,BSC3-18,BSC3,18,BSC3-18,NA,collected,Dry,N,NA,NA,96
U97,scale,BSC3-20,BSC3,20,BSC3-20,NA,collected,Dry,N,NA,NA,97
U98,scale,BSC3-22,BSC3,22,BSC3-22,NA,collected,Dry,N,NA,NA,98
U100,scale,BSC3-45,BSC3,45,BSC3-45,NA,collected,Dry,N,NA,NA,100
U101,scale,BSC3-7,BSC3,7,BSC3-7,NA,collected,Dry,N,NA,NA,101
U102,scale,BSC3-9,BSC3,9,BSC3-9,NA,collected,Dry,N,NA,NA,102
U103,scale,BSC3-12,BSC3,12,BSC3-12,NA,collected,Dry,N,NA,NA,103
U104,scale,BSC3-31,BSC3,31,BSC3-31,NA,collected,Dry,N,NA,NA,104
U106,scale,BSC3-34,BSC3,34,BSC3-34,NA,collected,Dry,N,NA,NA,106
U107,scale,BSC3-37,BSC3,37,BSC3-37,NA,collected,Dry,N,NA,NA,107
U108,scale,BSC3-40,BSC3,40,BSC3-40,NA,collected,Dry,N,NA,NA,108
U109,scale,BSC3-42,BSC3,42,BSC3-42,NA,collected,Dry,N,NA,NA,109
U110,scale,BSC1-21,BSC1,21,BSC1-21,NA,collected,Dry,N,NA,NA,110
U111,scale,BSC3-27,BSC3,27,BSC3-27,NA,collected,Dry,N,NA,NA,111
U112,scale,BSC3-28,BSC3,28,BSC3-28,NA,collected,Dry,N,NA,NA,112
U113,scale,BSC3-30,BSC3,30,BSC3-30,NA,collected,Dry,N,NA,NA,113
U114,scale,BSC3-33,BSC3,33,BSC3-33,NA,collected,Dry,N,NA,NA,114
U115,scale,BSC3-35,BSC3,35,BSC3-35,NA,collected,Dry,N,NA,NA,115
U116,scale,BSC3-38,BSC3,38,BSC3-38,NA,collected,Dry,N,NA,NA,116
U117,scale,BSC3-41,BSC3,41,BSC3-41,NA,collected,Dry,N,NA,NA,117
U118,scale,BSC3-44,BSC3,44,BSC3-44,NA,collected,Dry,N,NA,NA,118
U119,scale,BSC3-46,BSC3,46,BSC3-46,NA,collected,Dry,N,NA,NA,119
U120,scale,BSC3-47,BSC3,47,BSC3-47,NA,collected,Dry,N,NA,NA,120
U122,scale,BSC3-36,BSC3,36,BSC3-36,NA,collected,Dry,N,NA,NA,122
U123,scale,BSC3-39,BSC3,39,BSC3-39,NA,collected,Dry,N,NA,NA,123
