survey_id,line_out_depth,temperature,salinity,ysi_gather_lat,ysi_gather_long
JE246,1,10,31.4,NA,NA
JE247,0,9.9,31.6,50.557306,-126.732099
JE247,1,9.9,31.6,50.557306,-126.732099
JE248,0,10,31.6,50.543567,-126.813169
JE248,1,10,31.6,50.543567,-126.813169
JE249,0,11,32.1,50.577021,-126.721904
JE249,1,10,32.1,50.577021,-126.721904
JE250,0,9.5,30.1,50.601624,-126.703718
JE250,1,9.5,30.2,50.601624,-126.703718
JE251,0,10.4,29.6,NA,NA
JE251,1,10.2,29.6,NA,NA
JE252,0,10.1,29.6,50.601448,-126.70472
JE252,1,10,29.7,50.601448,-126.70472
JE253,0,10.2,30.3,50.580997000000004,-126.720845
JE253,1,9.7,30.3,50.580997000000004,-126.720845
JE254,0,10.1,30.4,50.555465,-126.726552
JE254,1,10,30.4,50.555465,-126.726552
JE255,0,10.4,30.4,50.540741,-126.78151
JE255,1,10.4,30.4,50.540741,-126.78151
JE256,0,10.2,30.2,50.478785,-126.436163
JE256,1,10.2,30.3,50.478785,-126.436163
JE257,0,10.2,31.3,50.507702,-126.24266
JE257,1,10.2,31.4,50.507702,-126.24266
JE258,0,10.2,31.6,50.458499,-126.169751
JE258,1,10.1,31.4,50.458499,-126.169751
JE261,0,10.8,31.3,50.543064,-126.632073
JE261,1,10.5,31.3,50.543064,-126.632073
JE259,0,10,31.4,50.476461,-126.026782
JE259,1,9.8,31.6,50.476461,-126.026782
JE260,0,10.2,31.3,50.526371,-126.389178
JE260,1,10.2,31.2,50.526371,-126.389178
JE262,0,9.9,31.8,50.544652,-126.816469
JE262,1,9.9,31.8,50.544652,-126.816469
JE263,0,10.6,31.6,NA,NA
JE263,1,10.5,31.5,NA,NA
JE264,0,10.4,31.9,50.602143,-126.701418
JE264,1,9.8,31.9,50.602143,-126.701418
JE265,0,10,32.9,50.577378,-126.721772
JE265,1,10,32.9,50.577378,-126.721772
JE266,0,10,32.3,50.547415,-126.677024
JE266,1,10,32.3,50.547415,-126.677024
JE267,0,10.4,31.8,50.480168,-126.41448
JE267,1,10.4,31.8,50.480168,-126.41448
JE268,0,10.1,32.2,50.480168,-126.41448
JE268,1,10.1,32.2,50.480168,-126.41448
JE269,0,9.9,30.9,50.456484,-126.153848
JE269,1,9.9,31,50.456484,-126.153848
JE270,0,10,30.6,50.457717,-126.153749
JE270,1,10,31,50.457717,-126.153749
JE271,0,10.5,30.9,50.500213,-126.208514
JE271,1,10.3,30.9,50.500213,-126.208514
JE272,0,9.7,32,50.602229,-126.704228
JE272,1,9.8,31.9,50.602229,-126.704228
JE273,0,10.7,31.8,NA,NA
JE273,1,10.5,31.8,NA,NA
JE274,0,10.3,31.9,50.543119,-126.815234
JE274,1,10.3,31.8,50.543119,-126.815234
JE275,0,10.6,31.5,50.558074,-126.732083
JE275,1,10.3,31.5,50.558074,-126.732083
JE276,0,11.2,31.3,50.542807,-126.643504
JE276,1,11.2,31.3,50.542807,-126.643504
JE282,1,10.6,30.4,50.477259,-126.028492
JE277,0,10.3,29.7,50.526809,-126.388143
JE277,1,10.3,29.9,50.526809,-126.388143
JE278,0,10.6,30.3,NA,NA
JE278,1,10.6,30.4,NA,NA
JE281,0,10.2,30.7,50.506215,-126.242144
JE281,1,10.2,30.7,50.506215,-126.242144
JE282,0,11.6,30.3,50.477259,-126.028492
JE283,0,10.3,30.4,NA,NA
JE283,1,10.3,30.7,NA,NA
JE284,0,10.4,30.1,NA,NA
JE284,1,10.1,31,NA,NA
JE285,0,10.8,30.5,50.557713,-126.732422
JE285,1,10.6,30.6,50.557713,-126.732422
JE286,0,10.7,30.7,50.545906,-126.665784
JE286,1,10.5,30.7,50.545906,-126.665784
JE287,0,9.9,31,50.580685,-126.721841
JE287,1,9.7,31.1,50.580685,-126.721841
JE288,0,9.8,30.6,50.60198,-126.702293
JE289,0,10.5,30.1,50.525978,-126.387109
JE289,1,10.2,30.4,50.525978,-126.387109
JE290,0,10.3,30.4,50.48305,-126.404122
JE290,1,10.3,30.4,50.48305,-126.404122
JE291,0,10,30.6,50.475575,-126.02906
JE291,1,9.9,30.7,50.475575,-126.02906
JE292,0,10,30.6,50.45646,-126.118861
JE292,1,10,30.7,50.45646,-126.118861
JE293,0,10.2,30.7,50.498999,-126.202827
JE293,1,10.2,30.7,50.498999,-126.202827
JE294,0,10.1,29.3,50.601518,-126.703793
JE294,1,10,29.4,50.601518,-126.703793
JE295,0,9.7,30.1,50.580276,-126.721579
JE295,1,9.7,30.1,50.580276,-126.721579
JE296,0,10.3,29.6,50.54685,-126.671441
JE296,1,10.2,29.6,50.54685,-126.671441
JE297,0,10.4,29.6,50.543687,-126.794614
JE297,1,10.4,29.6,50.543687,-126.794614
JE299,0,10,31,50.526347,-126.389522
JE299,1,10,31,50.526347,-126.389522
JE300,0,10.8,30.7,50.478016,-126.429304
JE300,1,10.8,30.8,50.478016,-126.429304
JE298,0,10.4,29.7,50.543702,-126.794434
JE298,1,10,29.8,50.543702,-126.794434
JE301,0,10.1,31.1,50.50748,-126.242437
JE301,1,10,31.1,50.50748,-126.242437
JE302,0,10.3,31,50.457041,-126.162672
JE302,1,10.3,30.9,50.457041,-126.162672
JE288,1,9.8,30.6,50.60198,-126.702293
DE244,0,10.7,28.7,50.309111,-125.323871
DE244,1,10.5,28.7,50.309111,-125.323871
DE248,0,10.7,28.5,50.17794,-125.124437
DE248,1,10.6,26.6,50.17794,-125.124437
DE344,0,17.3,23.6,49.997783,-125.159445
DE344,1,16.9,24,49.997783,-125.159445
DE343,0,15.5,25.7,49.92905,-125.17525
DE343,1,14.1,26.6,49.92905,-125.17525
DE342,0,16.6,22.5,50.022965,-124.916635
DE342,1,16.5,22.6,50.022965,-124.916635
JE231,0,10.3,29,50.506881,-126.247378
JE231,1,10.1,29.1,50.506881,-126.247378
JE232,0,12.4,28.9,50.458043,-126.152637
JE232,1,10,29.1,50.458043,-126.152637
JE233,0,9.6,28.9,50.473969,-126.247378
JE233,1,9.7,29.2,50.473969,-126.247378
JE234,0,10,29.2,50.458043,-126.152637
JE234,1,10,29.2,50.458043,-126.152637
JE235,0,11.5,28.4,50.526993,-126.38718
JE235,1,10.4,29.1,50.526993,-126.38718
JE236,0,11.8,28.8,50.480359,-126.412275
JE236,1,11.6,28.8,50.480359,-126.412275
JE240,0,10,29.6,50.601718,-126.701857
JE240,1,9.8,29.5,50.601718,-126.701857
JE241,0,11,29.1,50.585454,-126.749707
JE241,1,10.6,29.6,50.585454,-126.749707
JE237,0,9.9,29.2,50.543296,-126.816816
JE237,1,9.9,29.4,50.543296,-126.816816
JE238,0,10.1,29.2,50.558361,-126.732241
JE238,1,10,29.2,50.558361,-126.732241
DE408,0,12.5,17.5,50.31798138,-125.0435965
DE408,1,12.3,21,50.31798138,-125.0435965
DE414,0,8.8,17.1,50.24465574,-125.3961195
DE414,1,9.3,28.4,50.24465574,-125.3961195
DE426,0,9.5,27.6,50.30598214,-125.3328404
DE426,1,9.7,28.2,50.30598214,-125.3328404
DE416,0,12.9,19.3,50.31976563,-125.0412143
DE416,1,12.8,22.8,50.31976563,-125.0412143
DE428,0,12.7,19.9,50.30343638,-125.0319666
DE428,1,12.7,21,50.30343638,-125.0319666
DE440,0,10.4,28.2,50.30746604,-125.3297174
DE440,1,10.2,28.2,50.30746604,-125.3297174
DE403,0,10.1,28.3,50.29377487,-125.3171231
DE403,1,10,28.4,50.29377487,-125.3171231
DE415,0,9.8,28.3,50.24483115,-125.3960495
DE415,1,9.8,28.3,50.24483115,-125.3960495
DE427,0,9.9,28.4,50.26877907,-125.3638761
DE427,1,9.8,28.4,50.26877907,-125.3638761
DE364,0,10.5,27.9,50.18077706,-125.3310891
DE364,1,10.2,28,50.18077706,-125.3310891
DE365,0,10,28.2,50.3075101,-125.3196861
DE365,1,10,28.2,50.3075101,-125.3196861
JE324,0,9,29.4,50.54661853,-126.6720892
JE324,1,9,29.5,50.54661853,-126.6720892
JE325,0,8.8,30.2,50.59975845,-126.703347
JE325,1,8.8,30.2,50.59975845,-126.703347
DE439,0,13.4,22,50.31936057,-125.0406286
DE439,1,13.7,23,50.31936057,-125.0406286
JE326,0,9,29.7,50.53762812,-126.6319168
JE326,1,9,29.7,50.53762812,-126.6319168
DE405,0,13.8,22.2,50.30335518,-125.0317438
DE405,1,13.8,22.8,50.30335518,-125.0317438
JE327,0,9.3,29.8,50.54395686,-126.8143282
JE327,1,9,29.9,50.54395686,-126.8143282
DE366,0,12,26.5,50.17973195,-125.0191781
DE366,1,12,26.6,50.17973195,-125.0191781
DE417,0,9.5,25.7,50.24391499,-125.3964653
DE417,1,9.7,28.2,50.24391499,-125.3964653
DE429,0,10.2,28.5,50.27176577,-125.3771835
DE429,1,10,28.6,50.27176577,-125.3771835
DE367,0,10.9,28.3,50.30636774,-125.3298566
DE367,1,10.6,28.4,50.30636774,-125.3298566
DE441,0,9.8,26.1,50.24346147,-125.396452
DE441,1,9.9,28.5,50.24346147,-125.396452
DE412,0,9.6,28.7,50.2717967,-125.3771101
DE412,1,9.6,28.7,50.2717967,-125.3771101
DE424,0,14.8,20.5,50.31956727,-125.0411365
DE424,1,14.8,20.5,50.31956727,-125.0411365
DE368,0,14.9,20.4,50.30273588,-125.0307579
DE368,1,14.6,21.1,50.30273588,-125.0307579
DE436,0,14.9,19.7,50.31976762,-125.0401436
DE436,1,14.9,20.2,50.31976762,-125.0401436
DE369,0,14.9,20.6,50.30352871,-125.0313724
DE369,1,14.3,22.1,50.30352871,-125.0313724
JE328,0,10.3,29.6,NA,NA
JE328,1,9.8,29.7,NA,NA
JE329,0,9.6,29.9,50.53939776,-126.7769519
JE329,1,9.6,29.9,50.53939776,-126.7769519
JE330,0,10,29.9,50.52668287,-126.727793
JE330,1,9.8,29.9,50.52668287,-126.727793
JE331,0,9.5,30.4,NA,NA
JE331,1,9.5,30.5,NA,NA
JE332,0,9,31,50.59909685,-126.7028445
JE332,1,9,30.9,50.59909685,-126.7028445
JE333,0,9.8,30.5,50.53782981,-126.6317626
JE333,1,9.4,30.5,50.53782981,-126.6317626
DE422,0,10.5,28.3,50.24304444,-125.3968748
DE422,1,10.4,28.3,50.24304444,-125.3968748
DE370,0,11,28.1,50.27187368,-125.3768368
