ufn,lab_count_motiles,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab
U507,1,1,0,0,0,0,0,0,0,0,0,0
U508,0,0,0,0,0,0,0,0,0,0,0,0
U509,2,1,0,0,0,0,0,0,0,0,1,0
U510,2,0,1,0,1,0,0,0,0,0,0,0
U511,0,0,0,0,0,0,0,0,0,0,0,0
U512,1,0,1,0,0,0,0,0,0,0,0,0
U513,0,0,0,0,0,0,0,0,0,0,0,0
U514,0,0,0,0,0,0,0,0,0,0,0,0
U515,0,0,0,0,0,0,0,0,0,0,0,0
U516,0,0,0,0,0,0,0,0,0,0,0,0
U517,1,0,1,0,0,0,0,0,0,0,0,0
U518,0,0,0,0,0,0,0,0,0,0,0,0
U519,0,0,0,0,0,0,0,0,0,0,0,0
U520,0,0,0,0,0,0,0,0,0,0,0,0
U521,0,0,0,0,0,0,0,0,0,0,0,0
U522,1,1,0,0,0,0,0,0,0,0,0,0
U523,3,0,1,1,1,0,0,0,0,0,0,0
U524,4,1,2,1,0,0,0,0,0,0,0,0
U525,0,0,0,0,0,0,0,0,0,0,0,0
U526,0,0,0,0,0,0,0,0,0,0,0,0
U527,2,1,0,0,1,0,0,0,0,0,0,0
U528,0,0,0,0,0,0,0,0,0,0,0,0
U529,0,0,0,0,0,0,0,0,0,0,0,0
U530,3,2,0,0,1,0,0,0,0,0,0,0
U531,0,0,0,0,0,0,0,0,0,0,0,0
U532,0,0,0,0,0,0,0,0,0,0,0,0
U533,0,0,0,0,0,0,0,0,0,0,0,0
U534,0,0,0,0,0,0,0,0,0,0,0,0
U535,2,1,0,1,0,0,0,0,0,0,0,0
U536,2,2,0,0,0,0,0,0,0,0,0,0
U537,0,0,0,0,0,0,0,0,0,0,0,0
U538,0,0,0,0,0,0,0,0,0,0,0,0
U539,0,0,0,0,0,0,0,0,0,0,0,0
U540,3,0,3,0,0,0,0,0,0,0,0,0
U541,0,0,0,0,0,0,0,0,0,0,0,0
U542,0,0,0,0,0,0,0,0,0,0,0,0
U543,1,0,0,1,0,0,0,0,0,0,0,0
U544,0,0,0,0,0,0,0,0,0,0,0,0
U545,0,0,0,0,0,0,0,0,0,0,0,0
U546,2,1,1,0,0,0,0,0,0,0,0,0
U547,0,0,0,0,0,0,0,0,0,0,0,0
U548,0,0,0,0,0,0,0,0,0,0,0,0
U549,0,0,0,0,0,0,0,0,0,0,0,0
U550,1,0,1,0,0,0,0,0,0,0,0,0
U551,2,0,1,0,0,0,0,0,0,0,1,0
U552,0,0,0,0,0,0,0,0,0,0,0,0
