ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U11321,isotope,S11321IS2,BIS13,7,BIS13-7,NA,collected,N,NA,NA
U10601,isotope,S10601IS2,BIS13,14,BIS13-14,NA,collected,N,NA,NA
U10485,isotope,S10485IS1,BIS9,38,BIS9-38,NA,collected,N,NA,NA
U10490,isotope,S10490IS1,BIS9,40,BIS9-40,NA,collected,N,NA,NA
U10486,isotope,S10486IS1,BIS9,41,BIS9-41,NA,collected,N,NA,NA
U10487,isotope,S10487IS1,BIS9,43,BIS9-43,NA,collected,N,NA,NA
U10488,isotope,S10488IS1,BIS9,45,BIS9-45,NA,collected,N,NA,NA
U10489,isotope,S10489IS1,BIS9,47,BIS9-47,NA,collected,N,NA,NA
U12801,isotope,S12801IS1,BIS9,49,BIS9-49,NA,collected,N,NA,NA
U12804,isotope,S12804IS1,BIS9,52,BIS9-52,NA,collected,N,NA,NA
U12802,isotope,S12802IS1,BIS9,54,BIS9-54,NA,collected,N,NA,NA
U12806,isotope,S12806IS1,BIS9,56,BIS9-56,NA,collected,N,NA,NA
U12809,isotope,S12809IS1,BIS9,58,BIS9-58,NA,collected,N,NA,NA
U12810,isotope,S12810IS1,BIS9,60,BIS9-60,NA,collected,N,NA,NA
U11162,isotope,S11162IS1,BIS14,1,BIS14-1,NA,collected,N,NA,NA
U11170,isotope,S11170IS1,BIS14,3,BIS14-3,NA,collected,N,NA,NA
U11166,isotope,S11166IS1,BIS14,5,BIS14-5,NA,collected,N,NA,NA
U10089,isotope,S10089IS1,BIS14,7,BIS14-7,NA,collected,N,NA,NA
U10086,isotope,S10086IS1,BIS14,9,BIS14-9,NA,collected,N,NA,NA
U10085,isotope,S10085IS1,BIS14,12,BIS14-12,NA,collected,N,NA,NA
U10084,isotope,S10084IS1,BIS14,14,BIS14-14,NA,collected,N,NA,NA
